band_name,dec,oid,mjd,pixelFlags_bad,pixelFlags_saturated,psfFlux,psfFluxErr,psfFlux_flag,ra
g,-47.8938006489,170050474601349124,61095.0593530461,False,False,3977.4526,252.506,False,62.1010457484
g,-47.8937998227,170050474601349124,61095.0584816995,False,False,4301.9917,249.90468,False,62.101067455
g,-47.8937999505,170050474601349124,61095.0575841331,False,False,4025.1082,255.29227,False,62.1010379594
g,-47.8937924928,170050474601349124,61095.0567174828,False,False,4394.9707,226.74626,False,62.1010439528
g,-47.8938085752,170050474601349124,61095.0558355832,False,False,3777.933,235.83388,False,62.1010383176
g,-47.8937830878,170050474601349124,61095.0554030019,False,False,3753.095,248.8261,False,62.1010295012
g,-47.8937925574,170050474601349124,61095.0549718724,False,False,3761.3499,234.96747,False,62.1010502534
g,-47.8937885399,170050474601349124,61095.0541020231,False,False,3897.8054,236.85257000000001,False,62.1010306477
g,-47.8938006032,170050474601349124,61095.0532384311,True,False,3340.5012,225.17212,False,62.1009954877
i,-47.8937946986,170050474601349124,61095.0482204002,False,False,2271.263,351.46774,False,62.1010135331
